Latitude, Longitude, Stop Name, Stop Status
40.693922,-73.990411,CADMAN PZ W/TILLARY ST,at stop
40.690744,-73.985564,FULTON ST/HOYT ST,at stop
40.685245,-73.959023,GATES AV/CLASSON AV,at stop
40.686571,-73.975074,FULTON ST/S ELLIOTT PL,approaching
40.68772,-73.957063,FRANKLIN AV/GREENE AV,approaching
40.685989,-73.972085,GREENE AV/CUMBERLAND ST,approaching
40.685892,-73.973397,GREENE AV/FULTON ST,approaching
40.688635,-73.929558,GATES AV/MALCOLM X BL,approaching
40.690386,-73.921184,GATES AV/BUSHWICK AV,approaching
40.696187,-73.990996,Tillary St (not used),approaching
40.691775,-73.919825,GATES AV/BUSHWICK AV,< 1 stop away
40.687035,-73.94346,GATES AV/THROOP AV,< 1 stop away
40.694166,-73.917478,GATES AV/WILSON AV,< 1 stop away
